TransactionID,Amount,Hour,Distance_from_home_km,Distance_from_last_transaction_km,Ratio_to_median_purchase_price,Used_chip,Used_pin,Online_order,Class
TXN111584,9.09,8,19.4,7.1,1.46,1,0,0,0
TXN105034,28.92,11,16.76,8.7,0.873,0,0,1,0
TXN112282,196.19,1,7.18,5.54,0.073,1,1,1,0
TXN100028,43.73,15,9.01,11.36,1.525,1,1,0,0
TXN109702,23.48,14,0.93,7.06,0.507,0,1,1,0
TXN111437,43.54,5,1.73,2.93,0.917,1,1,0,0
TXN106193,173.89,2,0.4,8.0,0.309,1,1,0,0
TXN110573,26.11,21,14.74,4.24,0.452,1,0,0,0
TXN102246,169.07,21,19.01,0.38,1.189,1,1,0,0
TXN110179,16.47,16,4.73,1.9,0.755,1,1,0,0
TXN100337,13.9,11,14.01,2.41,1.505,0,1,0,0
TXN107030,19.6,10,0.4,5.55,1.491,1,0,0,0
TXN100610,89.25,15,5.35,17.56,1.273,0,1,1,0
TXN111230,286.47,18,4.71,4.14,0.598,1,1,0,0
TXN110630,120.9,10,16.58,11.9,1.052,1,0,0,0
TXN103551,25.32,5,21.75,2.44,1.424,1,1,0,0
TXN108421,11.06,11,3.63,9.0,1.511,0,1,0,0
TXN103867,86.36,13,9.95,7.09,0.48,1,0,0,0
TXN102166,10.18,9,12.64,9.08,1.82,1,1,0,0
TXN114524,23.08,11,13.82,13.22,0.459,1,0,1,0
TXN105581,226.29,17,5.71,2.62,1.237,0,0,1,0
TXN114104,208.34,12,4.25,17.72,1.466,0,0,0,0
TXN103048,20.62,10,5.62,14.2,1.482,1,1,0,0
TXN114404,13.07,9,6.83,6.65,1.262,1,1,0,0
TXN104903,17.85,15,10.97,2.04,0.915,1,0,1,0
TXN105945,7.69,22,15.38,1.89,1.856,0,1,1,0
TXN111658,75.32,7,6.58,0.6,1.853,0,0,0,0
TXN104500,222.97,18,23.28,7.06,0.783,1,1,1,0
TXN110394,12.19,14,1.53,2.16,0.343,1,1,1,0
TXN110291,40.51,9,8.97,7.21,1.345,1,1,1,0
TXN102447,23.85,11,6.49,0.38,0.23,0,0,1,0
TXN112528,256.13,7,9.64,1.07,1.876,0,1,0,0
TXN106617,12.84,7,24.33,2.33,0.506,0,1,0,0
TXN112308,1.47,5,8.02,5.82,1.714,1,1,1,0
TXN107197,87.81,10,6.31,4.39,0.163,0,1,1,0
TXN104917,7.64,10,10.1,3.23,0.206,1,1,1,0
TXN104089,12.41,18,15.06,9.72,0.844,1,1,0,0
TXN105790,21.79,14,9.85,6.19,0.848,1,0,0,0
TXN114031,274.87,16,1.91,2.52,0.895,1,1,0,0
TXN109206,72.27,0,11.4,2.18,1.573,0,0,0,0
TXN106568,56.95,13,3.95,1.12,1.517,1,1,0,0
TXN111204,22.86,21,0.92,0.43,1.264,1,0,0,0
TXN109419,18.56,11,6.72,8.4,1.29,1,0,0,0
TXN110147,4.19,7,5.37,8.91,1.068,1,1,0,0
TXN105642,197.17,22,10.6,13.66,1.541,0,1,0,0
TXN105107,32.64,17,16.4,8.91,1.452,1,1,1,0
TXN101059,29.81,11,9.81,5.37,1.602,1,1,1,0
TXN105948,163.59,16,1.95,4.5,1.14,0,1,0,0
TXN108769,75.01,19,15.77,0.07,0.546,0,0,0,0
TXN102056,50.59,19,9.7,4.58,1.643,1,0,0,0
TXN110415,13.28,19,13.99,1.25,0.958,1,1,0,0
TXN100433,5.99,5,16.38,4.04,1.066,1,1,1,0
TXN104592,92.92,7,9.85,0.23,0.946,1,1,1,0
TXN104662,4.63,12,17.46,6.41,1.63,1,1,0,0
TXN112616,38.28,21,8.32,5.62,1.05,1,1,0,0
TXN100144,114.35,19,2.57,8.1,0.746,1,1,0,0
TXN110659,20.78,11,3.68,3.45,0.923,1,1,0,0
TXN110958,80.22,20,2.25,7.75,1.484,1,0,0,0
TXN102038,124.95,13,3.49,2.56,1.515,0,1,1,0
TXN104518,16.23,0,15.9,6.42,0.759,1,1,0,0
TXN108303,2.84,9,9.66,13.03,1.141,1,1,0,0
TXN110749,8.18,0,8.86,2.64,0.852,1,1,1,0
TXN109886,19.2,19,4.35,0.77,0.613,0,1,0,0
TXN100793,146.43,21,11.91,3.18,2.5,1,0,0,0
TXN114117,12.25,1,3.62,0.6,1.945,1,1,0,0
TXN113663,73.5,15,0.62,8.26,1.52,0,1,0,0
TXN106690,114.14,18,27.04,2.28,1.929,1,1,1,0
TXN113836,13.96,11,31.83,6.69,2.036,1,0,0,0
TXN112425,48.5,13,2.08,0.68,0.511,1,0,0,0
TXN111593,95.7,19,22.92,8.25,0.758,1,1,1,0
TXN106518,9.84,9,3.46,21.34,1.186,1,0,0,0
TXN112096,47.2,3,18.6,6.21,1.433,1,0,0,0
TXN112464,11.25,5,10.23,8.4,1.158,1,1,1,0
TXN113171,137.65,13,6.87,15.45,0.914,1,1,0,0
TXN103129,12.0,14,17.07,0.22,0.772,1,1,0,0
TXN101818,25.98,14,5.65,12.38,2.407,1,0,1,0
TXN109487,32.72,14,10.07,5.02,1.44,1,0,0,0
TXN106916,139.92,18,8.71,21.7,0.669,1,1,0,0
TXN100058,5.35,16,0.59,9.09,0.596,0,0,0,0
TXN105885,18.73,5,17.71,7.16,1.084,0,1,0,0
TXN109286,64.03,9,4.52,10.15,2.651,0,0,1,0
TXN102823,2.96,16,1.48,5.43,0.994,0,1,1,0
TXN114976,221.36,13,15.26,29.2,3.251,0,0,0,1
TXN107900,65.6,0,24.87,7.91,1.987,1,1,0,0
TXN101991,20.08,14,18.6,9.04,2.064,0,1,1,0
TXN111274,125.61,17,1.66,0.22,1.584,1,1,0,0
TXN108154,41.09,14,4.29,13.82,0.993,1,1,1,0
TXN101969,28.77,11,22.11,10.08,1.262,1,1,1,0
TXN104456,48.78,5,10.92,4.58,0.931,1,1,1,0
TXN111589,53.81,11,6.43,4.49,0.274,1,1,0,0
TXN108657,46.48,5,8.03,8.08,0.254,1,1,0,0
TXN109212,97.1,13,10.24,5.5,0.996,1,1,0,0
TXN103316,77.85,14,6.3,10.42,0.824,1,1,0,0
TXN109878,21.12,20,3.55,1.47,0.979,1,1,0,0
TXN110205,9.96,14,9.38,10.47,0.744,1,1,0,0
TXN104116,17.04,14,1.02,4.04,0.877,1,1,0,0
TXN107611,66.31,9,5.53,0.62,1.511,1,0,1,0
TXN106887,83.77,16,11.3,5.6,1.168,1,0,0,0
TXN113892,85.54,16,4.93,5.08,0.421,1,1,1,0
TXN102934,104.36,5,2.44,14.32,0.931,1,1,0,0
TXN111151,20.69,21,1.97,0.36,0.874,0,0,0,0
TXN112161,21.51,8,1.79,2.04,0.639,1,0,1,0
TXN104442,53.67,14,5.47,11.48,1.87,1,1,0,0
TXN101137,54.6,11,1.89,4.41,0.453,1,1,1,0
TXN109987,44.37,7,18.16,6.58,0.454,1,0,1,0
TXN100922,44.58,16,14.2,9.55,0.082,1,1,0,0
TXN103679,21.47,19,0.41,15.18,0.561,1,1,1,0
TXN114563,14.71,9,6.56,3.74,2.54,1,1,0,0
TXN107519,41.28,16,18.88,0.68,1.678,1,0,0,0
TXN114771,7.26,10,7.41,35.5,3.595,0,0,1,1
TXN100324,17.47,20,6.17,6.14,1.272,1,0,0,0
TXN113998,168.06,9,16.3,16.49,0.363,1,1,1,0
TXN112064,33.05,17,15.21,4.35,0.941,0,1,0,0
TXN105950,63.97,7,13.88,10.42,0.201,0,1,0,0
TXN108057,132.56,17,6.37,8.15,0.706,1,1,0,0
TXN101010,4.16,12,10.42,8.45,0.068,1,1,0,0
TXN102930,78.98,10,3.1,0.52,0.68,1,0,1,0
TXN112600,33.95,13,8.56,3.08,1.668,1,0,0,0
TXN103077,4.84,8,12.76,1.52,1.425,1,1,0,0
TXN107159,6.25,22,7.7,6.41,1.891,0,0,1,0
TXN108191,56.62,21,10.08,7.54,0.68,1,0,1,0
TXN100469,27.58,16,4.96,18.68,0.432,0,1,1,0
TXN102591,15.25,17,9.53,2.08,1.05,1,0,0,0
TXN109649,5.79,7,13.04,16.05,0.879,1,0,0,0
TXN102876,36.29,16,13.53,0.31,0.768,1,0,0,0
TXN100945,24.54,12,26.39,9.44,0.755,1,1,0,0
TXN110419,19.94,3,3.48,9.6,1.378,1,1,0,0
TXN104470,87.79,11,13.41,4.06,0.199,1,0,1,0
TXN111499,78.16,14,17.4,0.03,0.81,1,1,1,0
TXN107903,26.65,5,13.21,5.73,0.555,1,1,0,0
