App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated
Game App 441,GAME,3.2976492145804084,223,21.5M,"1,000,000+",Free,0,Teen,"May 17, 2024"
Tools App 383,TOOLS,4.367474847248886,418,1.0M,"10,000+",Free,0,Everyone,"December 26, 2023"
Social App 569,SOCIAL,3.095938832074135,722,50.3M,"1,000+",Free,0,Everyone,"August 05, 2024"
Shopping App 231,SHOPPING,4.463364923748407,6,47.1M,"50,000+",Free,0,Everyone,"February 10, 2023"
Game App 472,GAME,3.7535021114653517,6661,60.6M,"1,000,000+",Free,0,Everyone,"September 18, 2023"
Photography App 452,PHOTOGRAPHY,3.782221017863122,3111,42.9M,"100,000+",Free,0,Everyone,"June 17, 2023"
Productivity App 38,PRODUCTIVITY,4.122137798125911,379,61.1M,"500,000+",Free,0,Teen,"February 09, 2024"
Social App 206,SOCIAL,4.291197128791642,8,Varies with device,"1,000+",Free,0,Everyone 10+,"August 27, 2023"
Game App 193,GAME,4.203112296753284,23,7.8M,"50,000+",Free,0,Everyone,"April 22, 2024"
Music And Audio App 69,MUSIC_AND_AUDIO,3.842320938794898,120,12.9M,"1,000,000+",Free,0,Teen,"July 30, 2024"
Business App 377,BUSINESS,3.5317599783139153,260,63.0M,"10,000+",Free,0,Everyone,"February 26, 2023"
Music And Audio App 16,MUSIC_AND_AUDIO,4.051082990536029,154,1.0M,"1,000,000+",Free,0,Everyone,"March 21, 2024"
Music And Audio App 159,MUSIC_AND_AUDIO,4.122385680531355,526,1.3M,"100,000+",Free,0,Everyone 10+,"August 21, 2023"
Health And Fitness App 251,HEALTH_AND_FITNESS,4.134473321161254,2223,51.2M,"10,000+",Free,0,Everyone,"September 29, 2023"
Shopping App 850,SHOPPING,4.047313219429033,89,7.8M,"5,000,000+",Free,0,Everyone,"July 07, 2023"
Photography App 838,PHOTOGRAPHY,4.092226667883577,1580,74.0M,"500,000+",Free,0,Teen,"July 30, 2023"
Tools App 877,TOOLS,3.327975029052949,15,1.0M,"500,000+",Free,0,Everyone,"June 22, 2024"
Photography App 821,PHOTOGRAPHY,3.8339461475011833,6198,50.5M,"1,000,000+",Free,0,Mature 17+,"August 09, 2024"
Productivity App 582,PRODUCTIVITY,4.406522139736068,96,42.2M,"10,000,000+",Free,0,Everyone,"May 24, 2023"
Game App 465,GAME,4.750183546324848,57,23.3M,"5,000,000+",Free,0,Teen,"March 20, 2023"
Game App 733,GAME,5.0,392,73.5M,"10,000,000+",Free,0,Everyone,"October 18, 2023"
Health And Fitness App 790,HEALTH_AND_FITNESS,4.22004468928271,9,24.4M,"5,000+",Free,0,Everyone,"December 23, 2023"
Social App 21,SOCIAL,3.862423204422868,40,40.3M,"50,000+",Free,0,Everyone,"November 18, 2024"
Productivity App 296,PRODUCTIVITY,4.522964083436649,279,47.9M,"1,000+",Free,0,Everyone,"January 02, 2023"
Health And Fitness App 506,HEALTH_AND_FITNESS,3.9822322113950785,8986,29.3M,"5,000+",Free,0,Everyone 10+,"February 02, 2024"
Tools App 619,TOOLS,4.110709305921563,29,Varies with device,"5,000,000+",Free,0,Everyone,"July 23, 2023"
Education App 874,EDUCATION,3.6884350869258844,982,17.6M,"50,000+",Free,0,Mature 17+,"August 25, 2023"
Tools App 144,TOOLS,2.7641510107199734,72,Varies with device,"5,000+",Paid,$8.43,Teen,"July 31, 2023"
Photography App 165,PHOTOGRAPHY,4.736930155667774,417,48.4M,"5,000,000+",Free,0,Teen,"September 29, 2023"
Social App 237,SOCIAL,3.9279426154593544,540,6.0M,"1,000+",Free,0,Everyone,"April 16, 2023"
Education App 252,EDUCATION,4.595558723710932,994,31.8M,"500,000+",Paid,$7.1,Everyone 10+,"April 29, 2024"
Productivity App 735,PRODUCTIVITY,3.7013209780809926,536,47.5M,"5,000,000+",Free,0,Teen,"July 27, 2023"
Photography App 418,PHOTOGRAPHY,4.708624261987073,34895,50.3M,"500,000+",Free,0,Everyone,"May 27, 2023"
Health And Fitness App 607,HEALTH_AND_FITNESS,4.231373625990349,8,18.5M,"10,000+",Free,0,Teen,"April 06, 2023"
Finance App 281,FINANCE,4.7698889693605855,1386,31.4M,"1,000,000+",Free,0,Everyone,"January 31, 2024"
Finance App 622,FINANCE,4.151864533619892,30,1.0M,"5,000,000+",Free,0,Everyone,"October 22, 2023"
Education App 227,EDUCATION,4.038743239061162,167,37.5M,"5,000+",Free,0,Everyone,"November 24, 2024"
Shopping App 641,SHOPPING,3.44715952249401,19,79.0M,"10,000,000+",Free,0,Everyone,"September 12, 2024"
Shopping App 420,SHOPPING,4.446807894424251,212,33.2M,"1,000+",Free,0,Everyone 10+,"April 07, 2024"
Finance App 66,FINANCE,2.8973089326689383,2103,71.0M,"5,000+",Free,0,Everyone,"August 25, 2023"
Finance App 399,FINANCE,4.133202143673039,212,59.4M,"1,000+",Free,0,Teen,"May 18, 2023"
Health And Fitness App 755,HEALTH_AND_FITNESS,4.037449194887187,646,26.1M,"1,000,000+",Paid,$29.43,Teen,"June 30, 2024"
Game App 520,GAME,3.878621241679623,2254,71.8M,"50,000+",Free,0,Everyone 10+,"November 30, 2023"
Tools App 34,TOOLS,4.085456561348522,11602,1.0M,"500,000+",Free,0,Everyone,"March 30, 2024"
Tools App 433,TOOLS,4.297119056194172,22,1.0M,"500,000+",Free,0,Teen,"January 23, 2024"
Social App 310,SOCIAL,4.793223528445061,7229,45.2M,"5,000,000+",Free,0,Everyone,"January 12, 2024"
Game App 328,GAME,3.127326956523303,25880,33.0M,"100,000+",Free,0,Everyone,"August 15, 2024"
Photography App 732,PHOTOGRAPHY,4.15350456943677,7,41.1M,"100,000+",Free,0,Everyone,"April 12, 2023"
Tools App 672,TOOLS,4.479645812217763,295,Varies with device,"1,000,000+",Free,0,Everyone,"August 07, 2023"
Shopping App 756,SHOPPING,4.651422573354021,3653,9.0M,"1,000+",Free,0,Everyone,"January 21, 2024"
Education App 170,EDUCATION,3.2220328787176764,617,22.3M,"100,000+",Free,0,Everyone,"October 30, 2023"
Music And Audio App 547,MUSIC_AND_AUDIO,3.870282784181008,97,65.3M,"10,000,000+",Free,0,Teen,"July 02, 2024"
Tools App 289,TOOLS,3.9731356869074053,147,Varies with device,"10,000+",Paid,$8.72,Teen,"April 29, 2024"
Music And Audio App 161,MUSIC_AND_AUDIO,3.272563719941453,1206,64.9M,"5,000,000+",Free,0,Teen,"September 22, 2024"
Music And Audio App 637,MUSIC_AND_AUDIO,3.6043369496160156,272,19.9M,"1,000,000+",Free,0,Everyone,"September 11, 2023"
Education App 143,EDUCATION,3.8828071983352688,14,5.0M,"1,000,000+",Free,0,Everyone,"February 08, 2023"
Social App 339,SOCIAL,4.311604514255774,423,83.8M,"500,000+",Free,0,Teen,"December 31, 2023"
Health And Fitness App 194,HEALTH_AND_FITNESS,3.5406587008248174,10686,38.5M,"10,000+",Free,0,Everyone,"September 11, 2023"
Social App 8,SOCIAL,4.68210649946368,1220,34.1M,"100,000+",Paid,$26.86,Teen,"December 30, 2023"
Productivity App 844,PRODUCTIVITY,4.258115332581363,269,23.2M,"1,000+",Free,0,Everyone,"June 19, 2024"
Game App 855,GAME,4.552843860792781,3280,29.0M,"100,000+",Free,0,Everyone,"October 17, 2023"
Game App 843,GAME,3.5685350344829407,979,20.0M,"10,000,000+",Free,0,Everyone 10+,"June 16, 2024"
Game App 766,GAME,4.498606704829873,352,Varies with device,"50,000+",Free,0,Everyone 10+,"February 15, 2023"
Music And Audio App 180,MUSIC_AND_AUDIO,3.5286068283445124,8114,80.5M,"1,000,000+",Free,0,Teen,"October 04, 2023"
Health And Fitness App 566,HEALTH_AND_FITNESS,4.24164553624722,745,48.8M,"50,000+",Free,0,Everyone,"November 28, 2024"
Business App 553,BUSINESS,2.9914054349209573,5787,59.3M,"1,000+",Free,0,Everyone,"February 14, 2024"
Tools App 292,TOOLS,4.045004975469014,32,54.8M,"1,000,000+",Free,0,Everyone,"May 20, 2024"
Game App 100,GAME,4.424101821720506,436,46.4M,"100,000+",Free,0,Teen,"November 03, 2023"
Shopping App 651,SHOPPING,4.465927753869024,2177,28.7M,"1,000,000+",Paid,$9.17,Everyone,"April 07, 2023"
Social App 460,SOCIAL,4.280683202880471,23862,36.7M,"1,000+",Free,0,Everyone,"April 24, 2023"
Finance App 865,FINANCE,3.3930609336647857,3574,1.0M,"50,000+",Free,0,Everyone 10+,"January 07, 2023"
Tools App 366,TOOLS,3.707485638209141,162,5.2M,"10,000+",Free,0,Everyone,"March 09, 2024"
Game App 880,GAME,3.7060326266817696,6959,58.3M,"500,000+",Paid,$27.16,Everyone,"October 23, 2024"
Shopping App 388,SHOPPING,3.9572168609704295,432,28.0M,"100,000+",Free,0,Mature 17+,"August 28, 2023"
Finance App 461,FINANCE,3.3349458328711177,1483,52.3M,"100,000+",Free,0,Everyone,"September 27, 2024"
Productivity App 685,PRODUCTIVITY,4.19341605329419,60,28.1M,"1,000,000+",Free,0,Everyone,"February 25, 2024"
Music And Audio App 895,MUSIC_AND_AUDIO,4.158036538140421,2241,28.0M,"50,000+",Free,0,Everyone,"January 22, 2024"
Productivity App 758,PRODUCTIVITY,4.573183201300666,379,18.3M,"5,000+",Free,0,Everyone,"August 30, 2023"
Music And Audio App 684,MUSIC_AND_AUDIO,4.99367778917554,1357,19.1M,"100,000+",Free,0,Everyone,"October 01, 2024"
Photography App 523,PHOTOGRAPHY,4.241489179227339,1951,11.4M,"50,000+",Free,0,Teen,"August 27, 2023"
Business App 309,BUSINESS,4.372612200227353,44,1.0M,"1,000,000+",Free,0,Everyone,"November 30, 2023"
Education App 828,EDUCATION,4.356891030443169,15421,18.6M,"100,000+",Free,0,Teen,"February 10, 2023"
Education App 627,EDUCATION,4.266230077403751,891,57.7M,"10,000,000+",Free,0,Mature 17+,"September 01, 2023"
Social App 142,SOCIAL,3.4781834703940833,183,34.1M,"1,000,000+",Free,0,Everyone,"August 23, 2024"
Photography App 738,PHOTOGRAPHY,3.7575440666112687,1123,18.8M,"100,000+",Free,0,Everyone,"September 12, 2024"
Health And Fitness App 71,HEALTH_AND_FITNESS,4.87253230206901,34,22.8M,"5,000+",Paid,$3.03,Everyone,"November 10, 2023"
Health And Fitness App 348,HEALTH_AND_FITNESS,3.8504865184435535,740,Varies with device,"50,000+",Paid,$16.84,Teen,"June 06, 2023"
Education App 646,EDUCATION,3.976752993289037,1259,33.1M,"10,000,000+",Paid,$1.19,Everyone,"April 24, 2024"
Health And Fitness App 897,HEALTH_AND_FITNESS,4.151413306451643,208989,Varies with device,"1,000+",Free,0,Everyone 10+,"September 21, 2024"
Game App 102,GAME,3.717290856042837,742,59.3M,"1,000,000+",Free,0,Everyone,"September 03, 2023"
Game App 258,GAME,4.31545343828473,32,Varies with device,"50,000+",Free,0,Teen,"December 15, 2023"
Tools App 383,TOOLS,4.367474847248886,418,1.0M,"10,000+",Free,0,Everyone,"December 26, 2023"
Social App 867,SOCIAL,4.145019159374974,61,Varies with device,"50,000+",Free,0,Everyone,"October 21, 2023"
Tools App 147,TOOLS,3.9334158877770875,676,51.7M,"5,000+",Free,0,Teen,"November 20, 2024"
Productivity App 259,PRODUCTIVITY,4.524657797651365,44,18.9M,"10,000+",Free,0,Everyone 10+,"April 17, 2023"
Business App 783,BUSINESS,4.17818511316667,6102,53.5M,"10,000+",Free,0,Everyone,"February 10, 2024"
Game App 596,GAME,3.859057022973155,697,31.2M,"1,000,000+",Free,0,Everyone,"January 08, 2024"
Game App 306,GAME,4.074988669013421,3618,34.0M,"5,000+",Free,0,Teen,"August 24, 2024"
Social App 577,SOCIAL,4.540883343717959,63,24.1M,"500,000+",Free,0,Everyone,"August 20, 2023"
Photography App 376,PHOTOGRAPHY,3.884246618952302,1080,6.1M,"1,000,000+",Free,0,Everyone,"March 08, 2023"
