OrderID,OrderDate,CustomerID,CustomerAge,CustomerGender,ProductID,ProductName,Category,Quantity,UnitPrice,Revenue,Region
ORD11255,2022-01-01,CUST3673,30.0,Female,PSPO509,Cricket Bat,Sports,2,2124.66,4249.32,North
ORD13149,2022-01-01,CUST3792,50.0,Male,PHOM731,Storage Rack,Home & Kitchen,1,2860.07,2860.07,East
ORD15649,2022-01-01,CUST3434,30.0,Male,PSPO989,Cycling Gloves,Sports,1,688.39,688.39,North
ORD11460,2022-01-01,CUST3404,31.0,Male,PAPP565,Denim Jeans,Apparel,1,2095.91,2095.91,West
ORD12403,2022-01-01,CUST3301,28.0,Female,PBEA727,Perfume,Beauty,1,768.9,768.9,West
ORD10110,2022-01-02,CUST3596,43.0,Male,PELE779,Power Bank,Electronics,1,1823.33,1823.33,North
ORD12233,2022-01-02,CUST2647,54.0,Male,PBEA312,Face Wash,Beauty,1,1250.2,1250.2,West
ORD10253,2022-01-02,CUST3679,41.0,Female,PSPO438,Yoga Mat,Sports,1,1195.48,1195.48,East
ORD10203,2022-01-03,CUST3224,35.0,Male,PELE645,Smartphone Case,Electronics,2,1924.2,3848.4,North
ORD11188,2022-01-03,CUST3547,18.0,Female,PHOM455,Cushion Set,Home & Kitchen,1,919.11,919.11,West
ORD14643,2022-01-03,CUST3695,29.0,Female,PAPP596,Denim Jeans,Apparel,1,1431.69,1431.69,East
ORD15854,2022-01-03,CUST3689,31.0,Male,PSPO637,Dumbbell Set,Sports,2,594.48,1188.96,South
ORD13844,2022-01-03,CUST3110,37.0,Female,PELE914,Smartphone Case,Electronics,1,1741.23,1741.23,North
ORD15385,2022-01-04,CUST2812,30.0,Female,PAPP285,Running Shoes,Apparel,2,1604.62,3209.24,South
ORD12498,2022-01-04,CUST2032,37.0,Male,PSPO127,Cricket Bat,Sports,1,964.59,964.59,South
ORD11045,2022-01-04,CUST3180,23.0,Male,PSPO489,Cycling Gloves,Sports,2,931.95,1863.9,West
ORD13005,2022-01-04,CUST3379,30.0,Male,PHOM457,Blender,Home & Kitchen,1,2571.55,2571.55,South
ORD11966,2022-01-05,CUST3035,16.0,Female,PAPP706,Hoodie,Apparel,2,428.94,857.88,South
ORD11974,2022-01-05,CUST2178,16.0,Female,PELE356,Smartphone Case,Electronics,1,1510.26,1510.26,West
ORD11160,2022-01-05,CUST3160,25.0,Male,PHOM453,Blender,Home & Kitchen,1,971.12,971.12,West
ORD11612,2022-01-05,CUST2204,46.0,Female,PAPP919,Running Shoes,Apparel,1,1734.34,1734.34,North
ORD10875,2022-01-05,CUST2682,29.0,Female,PBEA786,Perfume,Beauty,2,558.43,1116.86,East
